"Title", "Description"
"Environmental Sustainability and Green Engineering", "Provides an overview of the impacts in aquatic, terrestrial, atmospheric and built environment created by engineering decisions. Understand the physical, chemical, and biological principles that describe interactions between engineering and the environment."
"Hazardous Waste Disposal and Solid Waste Management", "Sources, collection, treatment, and disposal of hazardous wastes and solid wastes. Conservation, recovery, and reuse of material. Economics of waste treatment, disposal, and reuse."
"Introduction to Marine Pollution", "An introductory course in marine pollution emphasizing geochemical aspects of the sources, transport, and fate of pollutants in the coastal marine environment."
"Innovative Subsurface Remediation Technologies", "Innovative remediation technologies for treating contaminated groundwater and sediments: theory, applications, and limitations of selected methods. Discussion of case studies.4) "
"Shallow Foundations", "Applications of geotechnical engineering principles to analysis and design of shallow foundations. Foundation types, lateral earth pressures, bearing capacity, settlement, gravity retaining walls, cantilever sheet pile walls."
"Environmental Hydrogeology", "Physico-chemical principles and fundamental relationships that describe the fate and transport of contaminants in the hydrologic system."
"Special Problems", "Advanced work under supervision of a faculty member arranged to suit the individual requirements of the student. "
"Special Problems", "Advanced work under supervision of a member arranged to suit the individual requirements of the student. "
"Civil Engineering Design Studies", "Off campus civil and environmental engineering design studies. Must include significant hands-on (laboratory or field) experience, use of engineering design tools, and the design, development, test, and evaluation of hardware/software systems. "
"Civil Engineering Design I", "Detailed project planning, conceptual design and layout, and environmental impact for the civil engineering integrated capstone design project. Speakers on ethics, professionalism, and professional practice."
"Civil Engineering Design II", "Elements of planning, analysis and design of a civil engineering project integrating the principles learned in previous courses; a group integrated capstone design project involving all major aspects of civil engineering design."
"Marine Environmental Organic Chemistry", "Physico-chemical properties of organic compounds, their transformations and environmental fluxes with a focus on marine topics. Offered alternate years."
"Geospatial Watershed Modeling", "Tools to simulate the water quantity and quality of a complex watershed; development of models for examining the water quantity and quality issues that are associated with watershed management."
"Public Transportation Systems", "Bus and rail modes; technological characteristics on capacity, service quality, costs; analysis, evaluation; performance monitoring, route and network design; frequency determination; vehicle scheduling; advanced operations strategies."
"Traffic Systems Operations", "Signalized and unsignalized intersection treatments; coordination concepts; arterial and freeway management, operating strategies, and design issues; simulation and optimization; performance evaluation."
"Urban and Rural Transportation", "Issues confronting planning for urban and rural transportation systems; the variety of policies that governments pursue in addressing issues and problems; technical and political constraints, transportation studies, and demand analysis techniques."
"Geometric Design of Highways", "Evaluation of alternative designs. Criteria and practices of geometric design; at grade intersections, interchanges, channelization, weaving parking facilities, and road appurtenances; safety considerations, lane balancing, ramps, and terminals."
"Bituminous Materials and Mix-Design", "Asphalt binder, bituminous mixtures, conventional and superpave mix-design methods, material characterization and testing, fracture, fatigue, and permanent deformation, novel pavement materials and additives, and pavement recycling."
"Transportation Soils and Materials", "Surficial and subgrade soils, mineral aggregates, Portland Cement Concretes, mix-design methods, material characterization and testing, fracture, fatigue, and modern transportation materials."
"Finite Element Analysis in Civil Engineering I", "Direct stiffness method. Rayleigh-Ritz and Galerkin methods. Isoparametric elements. Frames, trusses, plane stress and strain. Bending of thin plates."
"Structural Timber Design", "Study of wood properties and design considerations. Design and behavior of beams, columns, beam-columns, and wood fasteners. Analysis and design of structural diaphragms, shear walls, and box beams."
"Advanced Steel Design", "Selected topics in structural steel design following the LRFD specification, including plate buckling and postbuckling, torsion, plate girders, plastic design, frame stability, tall buildings, composite design, and earthquake-resistant design."
"Management of Highway Bridges", "Comprehensive systems approach to management of highway bridges. Needs assessment, in-service monitoring and evaluation of bridges. Condition forecasting models and failure analysis. Life-cycle cost and benefit analysis, prioritization and optimization."
"Prestressed Concrete", "Theory of prestressed concrete including partial losses of prestress and long-term effects due to creep, shrinkage and steel relaxation. Service and ultimate load evaluation of pre-tensioned and post-tensioned beam elements in flexure, shear and torsion. Deflection, camber and crack control evaluation."
"Advanced Reinforced Concrete", "Elastic and ultimate strength theory in flexure, shear, torsion, compression and serviceability. Behavior and analysis of deep beams, corbels, slender and non-slender columns, biaxial bending, two-way slabs and plates."
"Structural Dynamics", "Simplified models and their equations of motion; analytical solution methods; Fourier analysis; Duhamel integral; nonlinearities; computer-oriented solution algorithms and their implementation. Applications."
"Design of Highway Bridges", "Design specifications and analysis methods for highway bridges. Loads. Design of steel I-beam bridges, reinforced concrete bridges, and plate girders. Orthotropic analysis. Bridge details and substructure."
"Theory of Plates", "Development of basic plate equations. Classical solution examples of rectangular and circular plates. Additional topics selected from orthotropic plates, large deflections, finite element, and numerical solutions."
"Water Chemistry for Engineers", "Chemical principles applied to problems in environmental engineering, including water and wastewater treatment, contaminant hydrology, and hazardous waste management."
"Biosystems in Sanitary Engineering", "Microorganisms that constitute the biological systems in water pollution, water purification, and wastewater treatment. Application of principles of microbiology and biochemistry to analysis and design in fields of sanitary engineering and water resources."
"Theory of Water Purification and Treatment", "Principles of modern water purification and engineering practices. Aeration, deodorization, sterilization, coagulation, filtration, water softening, iron removal, disinfection, and corrosion control."
"Open-Channel Hydraulics", "Analysis of uniform, critical, varied, and unsteady flow in open channels. Principles will be applied to open-channel design."
"Environmental Sustainability and Green Engineering", "Provides the conceptual, methodological, and scientific basis to understand and reduce the impact of engineering decisions on the environment. Designed for an interdisciplinary audience of engineering graduate students and will provide students with the background and tools necessary to reduce the impacts of design."
"Advanced Soil Mechanics", "Physico-chemical properties of soils, hydraulic conductivity, consolidation, and shear strength."
"Introduction To Marine Pollution", "An introductory course in marine pollution emphasizing geochemical aspects of the sources, transport and fate of pollutants in the coastal marine environment. Review papers or research proposals will be required."
"Experimental Geomechanics", "Advanced methods and techniques of geotechnical testing. Behavior of granular and cohesive soils with determination of engineering properties. Interpretation, evaluation, and engineering applications of test data. Emphasis on shearing strength, consolidation, bearing capacity, earth pressures, seepage, and slope stability."
"Marine Geotechnics", "Geotechnical engineering principles as applied to marine problems. Site survey and in-situ testing, soil properties, shallow foundations and deadweight anchors, piles and pile anchors, direct and drag embedment anchors, scour."
"Deep Foundations", "Applications of soil mechanics principles to analysis and design of piles and drilled shafts under vertical and lateral loading. Static and dynamic load testing. Introduction to ground improvement technologies."
"Designing with Geosynthetics", "Overview of geosynthetic materials, properties, test methods, and current standards. Design methods involving geotextiles, geogrids, geonets, geomembranes, and geocomposites. Applications to problems in geomechanics, geoenvironmental engineering, and transportation-related fields."
"Earth Retaining Structures", "Analysis and design of earth retaining structures. Advanced seepage analysis. Mechanically stabilized earth walls, anchored bulkheads, braced excavations, and cofferdams. Slope stability analysis and slope stabilization. "
"Groundwater Hydrology", "Quantitative methods of groundwater hydrology including determination of aquifer properties and yield. Modeling of groundwater systems for management quantity of water, movement of contaminants, and well design. Field and laboratory measurements."
"Special Problems", "Advanced work under supervision of a faculty member arranged to suit individual requirements of the student. "
"Special Topics in Civil and Environmental Engineering", "Intensive inquiry into a certain important field of current interest in civil and environmental engineering."
"Numerical Methods in Structural Engineering", "Methods of successive approximations and numerical procedures in the solution of stress, vibration, and stability problems in structural members. Nonuniform members, elastic supports, plates, torsion."
"Master's Thesis Research", "Number of credits is determined each semester in consultation with the major professor or program committee. S/U credit."
"Graduate Seminar", "Presentations by researchers and practicing professionals covering topics in various areas of civil engineering and related fields. Presentations and discussions of research by graduate students."
"Graduate Seminar", "Presentations by researchers and practicing professionals covering topics in various areas of civil engineering and related fields. Presentations and discussions of research by graduate students.full-time graduate students. May be repeated for a maximum of 2 credits. "
"Pavement Evaluation and Rehabilitation", "Pavement performance concepts. Criteria for pavement evaluation. Measurement of pavement distress and structural capacity. Analysis and interpretation of pavement evaluation data. Correlation of data with performance ratings. Formulation and evaluation of maintenance and rehabilitation alternatives."
"Advanced Topics in Bridge Engineering", "Load and resistance factor design of prestressed concrete bridges. Analysis and design of segmental concrete bridges using the span-by-span and the cantilever methods of construction. Time dependent effects. Long span bridges. Bridge condition assessment and rating."
"Structural Stability", "Introduction; principal forms of equilibrium paths and their stability; conservative elastic systems; buckling of prismatic members; imperfections; plastic deformations; postbuckling of frames and reticulated structures; numerical methods; catastrophe theory."
"Structural Reliability", "Probabilistic applications in structural analysis and design. Statistical models for forces and material strengths. Component and system structural reliability. Random vibration applications in structural engineering."
"Water Pollution Control and Treatment of Wastewater", "Wastewater characteristics, effects, and purification in natural water, government control strategies and impacts, cost of control, theory and mathematical concepts of secondary and tertiary treatment process, their limitations, and late developments."
"Stream and Estuarine Analysis", "Fundamentals and mathematical concepts of physical and biological factors applied to the evaluation of the pollution capacity of streams and estuaries."
"Geotechnical Earthquake Engineering", "Introduction to the geotechnical aspects of earthquake engineering. Geology of earthquakes, response of single degree of freedom systems, strong ground motion, dynamic soil properties, site response analysis, liquefaction, and seismic earth pressures for retaining wall design."
"Special Problems", "Advanced work under the supervision of a faculty member arranged to suit the individual requirements of the student. "
"Special Problems", "Advanced work under the supervision of a faculty member arranged to suit the individual requirements of the student. "
"Advanced Special Topics in Civil and Environmental Engineering", "Intensive inquiry into a certain important field of current interest in civil and environmental engineering, requiring advanced sophistication of a 600 level course."
"Doctoral Dissertation Research", "Number of credits is determined each semester in consultation with the major professor or program committee. S/U credit."
"Foundations of Engineering I", "Introduction to engineering. Problem solving."
"Foundations Of Engineering II", "Engineering problem solving."
"Foundations of Engineering II", "Foundations of Engineering II. Engineering problem solving."
